[IOT][2023-05-28 13:13:22,436][INFO] starting...
2023-05-28T13:15:16.130705825Z [WORM][2023-05-28 13:15:16,130][INFO] log:7;reward=0.7011896610259996;action=4;reward_sum=1.3522687673568718
2023-05-28T13:15:16.631610767Z [WORM][2023-05-28 13:15:16,631][INFO] pinging...
2023-05-28T13:15:17.132324259Z [WORM][2023-05-28 13:15:17,132][INFO] log:8;reward=0.20034816265106237;action=0;reward_sum=0.20034816265106237
2023-05-28T13:15:18.133925150Z [WORM][2023-05-28 13:15:18,133][INFO] log:9;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:18.634835046Z [WORM][2023-05-28 13:15:18,634][INFO] log:9;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:18.635084212Z [WORM][2023-05-28 13:15:18,634][INFO] fetching info...
2023-05-28T13:15:19.136113223Z [WORM][2023-05-28 13:15:19,135][INFO] log:9;reward=0.601090669631958;action=4;reward_sum=0.601090669631958
2023-05-28T13:15:19.136212840Z [WORM][2023-05-28 13:15:19,136][INFO] pinging...
2023-05-28T13:15:19.637260364Z [WORM][2023-05-28 13:15:19,636][INFO] log:9;reward=0.1252380251884464;action=0;reward_sum=0.7263286948204044
2023-05-28T13:15:20.138009428Z [WORM][2023-05-28 13:15:20,137][INFO] log:9;reward=0.20040669441223002;action=4;reward_sum=0.9267353892326344
2023-05-28T13:15:20.638914194Z [WORM][2023-05-28 13:15:20,638][INFO] log:9;reward=0;action=3;reward_sum=0.9267353892326344
2023-05-28T13:15:21.139855539Z [WORM][2023-05-28 13:15:21,139][INFO] log:9;reward=0.6011025428771983;action=2;reward_sum=1.5278379321098328
2023-05-28T13:15:21.640873688Z [WORM][2023-05-28 13:15:21,640][INFO] log:9;reward=0;action=3;reward_sum=1.5278379321098328
2023-05-28T13:15:22.141483551Z [WORM][2023-05-28 13:15:22,141][INFO] log:9;reward=0.12522383928298986;action=0;reward_sum=1.6530617713928226
2023-05-28T13:15:22.642329717Z [WORM][2023-05-28 13:15:22,642][INFO] log:9;reward=0.02504134178161621;action=0;reward_sum=1.6781031131744388
2023-05-28T13:15:23.143217171Z [WORM][2023-05-28 13:15:23,142][INFO] log:9;reward=0.0;action=1;reward_sum=1.6781031131744388
2023-05-28T13:15:23.644112149Z [WORM][2023-05-28 13:15:23,643][INFO] log:9;reward=0.25042674541473353;action=2;reward_sum=1.9285298585891724
2023-05-28T13:15:24.144996146Z [WORM][2023-05-28 13:15:24,144][INFO] log:9;reward=0.8013975143432646;action=4;reward_sum=2.729927372932437
2023-05-28T13:15:24.645934315Z [WORM][2023-05-28 13:15:24,645][INFO] log:9;reward=0.10018255710601842;action=2;reward_sum=2.8301099300384553
2023-05-28T13:15:25.147016164Z [WORM][2023-05-28 13:15:25,146][INFO] log:9;reward=0.05008974075317418;action=2;reward_sum=2.8801996707916295
2023-05-28T13:15:25.647701298Z [WORM][2023-05-28 13:15:25,647][INFO] log:9;reward=0;action=3;reward_sum=2.8801996707916295
2023-05-28T13:15:26.148540822Z [WORM][2023-05-28 13:15:26,148][INFO] log:9;reward=0.0;action=1;reward_sum=2.8801996707916295
2023-05-28T13:15:26.649444576Z [WORM][2023-05-28 13:15:26,649][INFO] log:9;reward=0;action=3;reward_sum=2.8801996707916295
2023-05-28T13:15:27.150387284Z [WORM][2023-05-28 13:15:27,150][INFO] log:9;reward=0.6010692119598389;action=4;reward_sum=3.4812688827514684
2023-05-28T13:15:27.651216278Z [WORM][2023-05-28 13:15:27,650][INFO] log:9;reward=0;action=3;reward_sum=3.4812688827514684
2023-05-28T13:15:28.152059677Z [WORM][2023-05-28 13:15:28,151][INFO] log:9;reward=0.0;action=1;reward_sum=3.4812688827514684
2023-05-28T13:15:28.652951962Z [WORM][2023-05-28 13:15:28,652][INFO] log:9;reward=0.0;action=1;reward_sum=3.4812688827514684
2023-05-28T13:15:29.153953259Z [WORM][2023-05-28 13:15:29,153][INFO] log:9;reward=0.0;action=1;reward_sum=3.4812688827514684
2023-05-28T13:15:29.654893081Z [WORM][2023-05-28 13:15:29,654][INFO] log:9;reward=0.4508040428161628;action=2;reward_sum=3.932072925567631
2023-05-28T13:15:30.155758594Z [WORM][2023-05-28 13:15:30,155][INFO] log:9;reward=0.05009269714355469;action=2;reward_sum=3.982165622711186
2023-05-28T13:15:30.656690070Z [WORM][2023-05-28 13:15:30,656][INFO] log:9;reward=0;action=3;reward_sum=3.982165622711186
2023-05-28T13:15:31.157804190Z [WORM][2023-05-28 13:15:31,157][INFO] log:9;reward=0;action=3;reward_sum=3.982165622711186
2023-05-28T13:15:31.658988440Z [WORM][2023-05-28 13:15:31,658][INFO] log:9;reward=0.0;action=1;reward_sum=3.982165622711186
2023-05-28T13:15:32.159797257Z [WORM][2023-05-28 13:15:32,159][INFO] log:9;reward=0.47587217092513967;action=0;reward_sum=4.458037793636326
2023-05-28T13:15:32.660721059Z [WORM][2023-05-28 13:15:32,660][INFO] log:9;reward=0.0;action=1;reward_sum=4.458037793636326
2023-05-28T13:15:33.137707620Z [WORM][2023-05-28 13:15:33,137][INFO] fetching info...
2023-05-28T13:15:33.137771359Z [WORM][2023-05-28 13:15:33,137][INFO] scanning...
2023-05-28T13:15:33.161448001Z [WORM][2023-05-28 13:15:33,161][INFO] log:9;reward=0.300579309463501;action=2;reward_sum=4.7586171030998266
2023-05-28T13:15:33.662403162Z [WORM][2023-05-28 13:15:33,662][INFO] log:9;reward=0.0;action=1;reward_sum=4.7586171030998266
2023-05-28T13:15:34.163268094Z [WORM][2023-05-28 13:15:34,163][INFO] log:9;reward=0.10016989707946777;action=2;reward_sum=4.858787000179294
2023-05-28T13:15:34.664233023Z [WORM][2023-05-28 13:15:34,663][INFO] log:9;reward=0.05009167194366526;action=2;reward_sum=4.90887867212296
2023-05-28T13:15:34.883172458Z [WORM][2023-05-28 13:15:34,882][INFO] scanning...
2023-05-28T13:15:35.165110828Z [WORM][2023-05-28 13:15:35,164][INFO] log:9;reward=1.602950000762938;action=4;reward_sum=6.511828672885898
2023-05-28T13:15:35.666035742Z [WORM][2023-05-28 13:15:35,665][INFO] log:9;reward=0.10018064975738561;action=2;reward_sum=6.612009322643283
2023-05-28T13:15:36.166707221Z [WORM][2023-05-28 13:15:36,166][INFO] log:9;reward=0.0;action=1;reward_sum=6.612009322643283
2023-05-28T13:15:36.667795111Z [WORM][2023-05-28 13:15:36,667][INFO] pinging...
2023-05-28T13:15:37.168724373Z [WORM][2023-05-28 13:15:37,168][INFO] log:10;reward=0.2504346132278439;action=0;reward_sum=0.2504346132278439
2023-05-28T13:15:37.669602284Z [WORM][2023-05-28 13:15:37,669][INFO] pinging...
2023-05-28T13:15:38.170442384Z [WORM][2023-05-28 13:15:38,170][INFO] log:11;reward=0.05009689331054634;action=0;reward_sum=0.05009689331054634
2023-05-28T13:15:38.671313036Z [WORM][2023-05-28 13:15:38,671][INFO] log:11;reward=0.0;action=1;reward_sum=0.05009689331054634
2023-05-28T13:15:39.172088450Z [WORM][2023-05-28 13:15:39,171][INFO] log:11;reward=0.35060644149780273;action=2;reward_sum=0.4007033348083491
2023-05-28T13:15:39.673209712Z [WORM][2023-05-28 13:15:39,672][INFO] scanning...
2023-05-28T13:15:40.174024550Z [WORM][2023-05-28 13:15:40,173][INFO] log:12;reward=0.10019636154174805;action=2;reward_sum=0.10019636154174805
2023-05-28T13:15:40.674944394Z [WORM][2023-05-28 13:15:40,674][INFO] log:12;reward=0.12522485256195104;action=0;reward_sum=0.22542121410369909
2023-05-28T13:15:41.175754573Z [WORM][2023-05-28 13:15:41,175][INFO] log:12;reward=1.202127122879027;action=4;reward_sum=1.427548336982726
2023-05-28T13:15:42.177199962Z [WORM][2023-05-28 13:15:42,176][INFO] log:13;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:43.178678163Z [WORM][2023-05-28 13:15:43,178][INFO] log:14;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:43.679701462Z [WORM][2023-05-28 13:15:43,679][INFO] scanning...
2023-05-28T13:15:44.180386967Z [WORM][2023-05-28 13:15:44,180][INFO] log:15;reward=0.4006334304809567;action=2;reward_sum=0.4006334304809567
2023-05-28T13:15:44.681442846Z [WORM][2023-05-28 13:15:44,681][INFO] scanning...
2023-05-28T13:15:45.182126468Z [WORM][2023-05-28 13:15:45,181][INFO] log:16;reward=0.10017492771148717;action=2;reward_sum=0.10017492771148717
2023-05-28T13:15:45.683084681Z [WORM][2023-05-28 13:15:45,682][INFO] fetching info...
2023-05-28T13:15:46.183778922Z [WORM][2023-05-28 13:15:46,183][INFO] log:17;reward=1.0016083717346191;action=4;reward_sum=1.0016083717346191
2023-05-28T13:15:46.684806178Z [WORM][2023-05-28 13:15:46,684][INFO] scanning...
2023-05-28T13:15:47.185492515Z [WORM][2023-05-28 13:15:47,185][INFO] log:18;reward=0.20033698081970286;action=2;reward_sum=0.20033698081970286
2023-05-28T13:15:48.186902177Z [WORM][2023-05-28 13:15:48,186][INFO] log:19;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:15:48.688083763Z [WORM][2023-05-28 13:15:48,687][INFO] scanning...
2023-05-28T13:15:49.188763457Z [WORM][2023-05-28 13:15:49,188][INFO] log:20;reward=0.20032684803009104;action=2;reward_sum=0.20032684803009104
2023-05-28T13:15:49.689849793Z [WORM][2023-05-28 13:15:49,689][INFO] pinging...
2023-05-28T13:15:50.190468453Z [WORM][2023-05-28 13:15:50,190][INFO] log:21;reward=0.4757782101631163;action=0;reward_sum=0.4757782101631163
2023-05-28T13:15:51.191941985Z [WORM][2023-05-28 13:15:51,191][INFO] log:22;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:52.193504183Z [WORM][2023-05-28 13:15:52,193][INFO] log:23;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:52.694353165Z [WORM][2023-05-28 13:15:52,694][INFO] log:23;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:15:53.195179604Z [WORM][2023-05-28 13:15:53,194][INFO] log:23;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:15:53.195443137Z [WORM][2023-05-28 13:15:53,195][INFO] pinging...
2023-05-28T13:15:53.696448904Z [WORM][2023-05-28 13:15:53,696][INFO] log:23;reward=0.17529464960098284;action=0;reward_sum=0.17529464960098284
2023-05-28T13:15:54.197321260Z [WORM][2023-05-28 13:15:54,197][INFO] log:23;reward=0.0;action=1;reward_sum=0.17529464960098284
2023-05-28T13:15:54.698181082Z [WORM][2023-05-28 13:15:54,697][INFO] log:23;reward=0.050088727474213;action=0;reward_sum=0.22538337707519585
2023-05-28T13:15:55.199073280Z [WORM][2023-05-28 13:15:55,198][INFO] log:23;reward=0.0;action=1;reward_sum=0.22538337707519585
2023-05-28T13:15:55.700117933Z [WORM][2023-05-28 13:15:55,699][INFO] log:23;reward=0;action=3;reward_sum=0.22538337707519585
2023-05-28T13:15:56.201129801Z [WORM][2023-05-28 13:15:56,200][INFO] log:23;reward=0.0;action=1;reward_sum=0.22538337707519585
2023-05-28T13:15:56.702116971Z [WORM][2023-05-28 13:15:56,701][INFO] log:23;reward=2.1036603450775146;action=4;reward_sum=2.3290437221527105
2023-05-28T13:15:57.202982885Z [WORM][2023-05-28 13:15:57,202][INFO] log:23;reward=0.10017991065979004;action=4;reward_sum=2.4292236328125005
2023-05-28T13:15:57.703825765Z [WORM][2023-05-28 13:15:57,703][INFO] log:23;reward=0;action=3;reward_sum=2.4292236328125005
2023-05-28T13:15:58.204872889Z [WORM][2023-05-28 13:15:58,204][INFO] log:23;reward=0.0;action=1;reward_sum=2.4292236328125005
2023-05-28T13:15:58.705843949Z [WORM][2023-05-28 13:15:58,705][INFO] log:23;reward=0.3005647659301758;action=4;reward_sum=2.7297883987426763
2023-05-28T13:15:59.206750729Z [WORM][2023-05-28 13:15:59,206][INFO] log:23;reward=0.10018625259399272;action=4;reward_sum=2.829974651336669
2023-05-28T13:15:59.707717802Z [WORM][2023-05-28 13:15:59,707][INFO] log:23;reward=0.25047358274459874;action=0;reward_sum=3.0804482340812678
2023-05-28T13:16:00.208586992Z [WORM][2023-05-28 13:16:00,208][INFO] log:23;reward=0.025046813488006414;action=0;reward_sum=3.105495047569274
2023-05-28T13:16:00.709595233Z [WORM][2023-05-28 13:16:00,709][INFO] log:23;reward=1.1520758390426629;action=2;reward_sum=4.257570886611937
2023-05-28T13:16:01.210453401Z [WORM][2023-05-28 13:16:01,210][INFO] log:23;reward=0;action=3;reward_sum=4.257570886611937
2023-05-28T13:16:01.711350453Z [WORM][2023-05-28 13:16:01,711][INFO] log:23;reward=0.07513697147369403;action=0;reward_sum=4.332707858085631
2023-05-28T13:16:02.212288893Z [WORM][2023-05-28 13:16:02,211][INFO] log:23;reward=0.025044333934784113;action=0;reward_sum=4.357752192020415
2023-05-28T13:16:02.713136131Z [WORM][2023-05-28 13:16:02,712][INFO] log:23;reward=0;action=3;reward_sum=4.357752192020415
2023-05-28T13:16:03.214041078Z [WORM][2023-05-28 13:16:03,213][INFO] log:23;reward=0.2504516363143914;action=2;reward_sum=4.608203828334807
2023-05-28T13:16:03.714941481Z [WORM][2023-05-28 13:16:03,714][INFO] log:23;reward=0.07513545751571638;action=0;reward_sum=4.683339285850523
2023-05-28T13:16:04.215790427Z [WORM][2023-05-28 13:16:04,215][INFO] log:23;reward=0.0;action=1;reward_sum=4.683339285850523
2023-05-28T13:16:04.716704401Z [WORM][2023-05-28 13:16:04,716][INFO] log:23;reward=0.0;action=1;reward_sum=4.683339285850523
2023-05-28T13:16:05.217610339Z [WORM][2023-05-28 13:16:05,217][INFO] log:23;reward=0.0751328825950619;action=0;reward_sum=4.758472168445585
2023-05-28T13:16:05.718556022Z [WORM][2023-05-28 13:16:05,718][INFO] log:23;reward=0.25045034885406636;action=2;reward_sum=5.008922517299651
2023-05-28T13:16:06.219440781Z [WORM][2023-05-28 13:16:06,219][INFO] log:23;reward=0;action=3;reward_sum=5.008922517299651
2023-05-28T13:16:06.720359574Z [WORM][2023-05-28 13:16:06,720][INFO] log:23;reward=1.5027216911315904;action=4;reward_sum=6.511644208431242
2023-05-28T13:16:07.197145548Z [WORM][2023-05-28 13:16:07,196][INFO] fetching info...
2023-05-28T13:16:07.197212754Z [WORM][2023-05-28 13:16:07,196][INFO] fetching info...
2023-05-28T13:16:07.197217874Z [WORM][2023-05-28 13:16:07,196][INFO] fetching info...
2023-05-28T13:16:07.197220739Z [WORM][2023-05-28 13:16:07,196][INFO] fetching info...
2023-05-28T13:16:07.197223114Z [WORM][2023-05-28 13:16:07,196][INFO] scanning...
2023-05-28T13:16:07.221081867Z [WORM][2023-05-28 13:16:07,220][INFO] log:23;reward=0.10018110275268555;action=0;reward_sum=6.611825311183927
2023-05-28T13:16:07.722029665Z [WORM][2023-05-28 13:16:07,721][INFO] log:23;reward=0;action=3;reward_sum=6.611825311183927
2023-05-28T13:16:08.223001617Z [WORM][2023-05-28 13:16:08,222][INFO] log:23;reward=0.0;action=1;reward_sum=6.611825311183927
2023-05-28T13:16:08.723777351Z [WORM][2023-05-28 13:16:08,723][INFO] log:23;reward=0.40069184303283834;action=4;reward_sum=7.0125171542167655
2023-05-28T13:16:08.990068497Z [WORM][2023-05-28 13:16:08,989][INFO] scanning...
2023-05-28T13:16:09.224671758Z [WORM][2023-05-28 13:16:09,224][INFO] log:23;reward=0;action=3;reward_sum=7.0125171542167655
2023-05-28T13:16:09.725664790Z [WORM][2023-05-28 13:16:09,725][INFO] log:23;reward=0;action=3;reward_sum=7.0125171542167655
2023-05-28T13:16:10.226429183Z [WORM][2023-05-28 13:16:10,226][INFO] log:23;reward=0.0;action=1;reward_sum=7.0125171542167655
2023-05-28T13:16:10.727597013Z [WORM][2023-05-28 13:16:10,727][INFO] log:23;reward=0;action=3;reward_sum=7.0125171542167655
2023-05-28T13:16:10.750854618Z [WORM][2023-05-28 13:16:10,750][INFO] scanning...
2023-05-28T13:16:11.228370863Z [WORM][2023-05-28 13:16:11,227][INFO] log:23;reward=0.2003492236137392;action=0;reward_sum=7.212866377830505
2023-05-28T13:16:11.729273230Z [WORM][2023-05-28 13:16:11,728][INFO] log:23;reward=0.6010512351989732;action=4;reward_sum=7.813917613029478
2023-05-28T13:16:12.229775025Z [WORM][2023-05-28 13:16:12,229][INFO] log:23;reward=0.10014061927795126;action=4;reward_sum=7.914058232307429
2023-05-28T13:16:12.730835529Z [WORM][2023-05-28 13:16:12,730][INFO] fetching info...
2023-05-28T13:16:13.231493086Z [WORM][2023-05-28 13:16:13,231][INFO] log:24;reward=0.20034751892089986;action=4;reward_sum=0.20034751892089986
2023-05-28T13:16:13.732543746Z [WORM][2023-05-28 13:16:13,732][INFO] pinging...
2023-05-28T13:16:14.233190153Z [WORM][2023-05-28 13:16:14,232][INFO] log:25;reward=0.15025067329406738;action=0;reward_sum=0.15025067329406738
2023-05-28T13:16:14.734293552Z [WORM][2023-05-28 13:16:14,734][INFO] fetching info...
2023-05-28T13:16:15.235157107Z [WORM][2023-05-28 13:16:15,234][INFO] log:26;reward=0.4007319927215569;action=4;reward_sum=0.4007319927215569
2023-05-28T13:16:15.235282011Z [WORM][2023-05-28 13:16:15,235][INFO] scanning...
2023-05-28T13:16:15.736119962Z [WORM][2023-05-28 13:16:15,735][INFO] log:26;reward=1.0017559289932247;action=2;reward_sum=1.4024879217147816
2023-05-28T13:16:16.236869517Z [WORM][2023-05-28 13:16:16,236][INFO] log:26;reward=0.20033750534057404;action=4;reward_sum=1.6028254270553557
2023-05-28T13:16:16.738241901Z [WORM][2023-05-28 13:16:16,738][INFO] scanning...
2023-05-28T13:16:17.238978071Z [WORM][2023-05-28 13:16:17,238][INFO] log:27;reward=0.15027306079864466;action=2;reward_sum=0.15027306079864466
2023-05-28T13:16:18.240251176Z [WORM][2023-05-28 13:16:18,240][INFO] log:28;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:18.741264597Z [WORM][2023-05-28 13:16:18,741][INFO] fetching info...
2023-05-28T13:16:19.241975765Z [WORM][2023-05-28 13:16:19,241][INFO] log:29;reward=0.6010242462158217;action=4;reward_sum=0.6010242462158217
2023-05-28T13:16:19.743018089Z [WORM][2023-05-28 13:16:19,742][INFO] fetching info...
2023-05-28T13:16:20.243806742Z [WORM][2023-05-28 13:16:20,243][INFO] log:30;reward=0.20033297538757466;action=4;reward_sum=0.20033297538757466
2023-05-28T13:16:21.245114764Z [WORM][2023-05-28 13:16:21,244][INFO] log:31;reward=0;action=3;reward_sum=0.0
2023-05-28T13:16:22.246758886Z [WORM][2023-05-28 13:16:22,246][INFO] log:32;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:22.747520814Z [WORM][2023-05-28 13:16:22,747][INFO] log:32;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:23.248552649Z [WORM][2023-05-28 13:16:23,248][INFO] log:32;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:23.248740732Z [WORM][2023-05-28 13:16:23,248][INFO] fetching info...
2023-05-28T13:16:23.749731259Z [WORM][2023-05-28 13:16:23,749][INFO] log:32;reward=0.701214075088501;action=4;reward_sum=0.701214075088501
2023-05-28T13:16:24.250425700Z [WORM][2023-05-28 13:16:24,250][INFO] log:32;reward=0.0;action=1;reward_sum=0.701214075088501
2023-05-28T13:16:25.252044616Z [WORM][2023-05-28 13:16:25,251][INFO] log:33;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:25.753193809Z [WORM][2023-05-28 13:16:25,752][INFO] fetching info...
2023-05-28T13:16:26.253841063Z [WORM][2023-05-28 13:16:26,253][INFO] log:34;reward=0.5008314609527602;action=4;reward_sum=0.5008314609527602
2023-05-28T13:16:27.255288547Z [WORM][2023-05-28 13:16:27,255][INFO] log:35;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:28.256670076Z [WORM][2023-05-28 13:16:28,256][INFO] log:36;reward=0;action=3;reward_sum=0.0
2023-05-28T13:16:28.757905433Z [WORM][2023-05-28 13:16:28,757][INFO] scanning...
2023-05-28T13:16:29.258416460Z [WORM][2023-05-28 13:16:29,258][INFO] log:37;reward=1.2019585371017456;action=2;reward_sum=1.2019585371017456
2023-05-28T13:16:30.259794303Z [WORM][2023-05-28 13:16:30,259][INFO] log:38;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:30.760944379Z [WORM][2023-05-28 13:16:30,760][INFO] scanning...
2023-05-28T13:16:31.261473621Z [WORM][2023-05-28 13:16:31,261][INFO] log:39;reward=0.2002988338470466;action=2;reward_sum=0.2002988338470466
2023-05-28T13:16:31.762645528Z [WORM][2023-05-28 13:16:31,762][INFO] scanning...
2023-05-28T13:16:32.263184268Z [WORM][2023-05-28 13:16:32,262][INFO] log:40;reward=0.10016932487487828;action=2;reward_sum=0.10016932487487828
2023-05-28T13:16:32.764204501Z [WORM][2023-05-28 13:16:32,763][INFO] scanning...
2023-05-28T13:16:33.264877322Z [WORM][2023-05-28 13:16:33,264][INFO] log:41;reward=0.10017478466033936;action=2;reward_sum=0.10017478466033936
2023-05-28T13:16:33.765946116Z [WORM][2023-05-28 13:16:33,765][INFO] pinging...
2023-05-28T13:16:34.266624097Z [WORM][2023-05-28 13:16:34,266][INFO] log:42;reward=1.0016696810722352;action=0;reward_sum=1.0016696810722352
2023-05-28T13:16:35.268229386Z [WORM][2023-05-28 13:16:35,267][INFO] log:43;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:35.769227177Z [WORM][2023-05-28 13:16:35,768][INFO] scanning...
2023-05-28T13:16:36.270049869Z [WORM][2023-05-28 13:16:36,269][INFO] log:44;reward=0.30052189826965403;action=2;reward_sum=0.30052189826965403
2023-05-28T13:16:36.771109386Z [WORM][2023-05-28 13:16:36,770][INFO] log:44;reward=2.103419303894043;action=4;reward_sum=2.403941202163697
2023-05-28T13:16:37.271698720Z [WORM][2023-05-28 13:16:37,271][INFO] log:44;reward=0.1001389503479011;action=4;reward_sum=2.504080152511598
2023-05-28T13:16:38.273239077Z [WORM][2023-05-28 13:16:38,273][INFO] log:45;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:38.774317910Z [WORM][2023-05-28 13:16:38,774][INFO] fetching info...
2023-05-28T13:16:39.275006731Z [WORM][2023-05-28 13:16:39,274][INFO] log:46;reward=0.4006645679473877;action=4;reward_sum=0.4006645679473877
2023-05-28T13:16:40.276376969Z [WORM][2023-05-28 13:16:40,276][INFO] log:47;reward=0;action=3;reward_sum=0.0
2023-05-28T13:16:41.277954978Z [WORM][2023-05-28 13:16:41,277][INFO] log:48;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:41.278183446Z [WORM][2023-05-28 13:16:41,278][INFO] pinging...
2023-05-28T13:16:41.779293678Z [WORM][2023-05-28 13:16:41,778][INFO] log:48;reward=0.37562532424926776;action=0;reward_sum=0.37562532424926776
2023-05-28T13:16:42.279908971Z [WORM][2023-05-28 13:16:42,279][INFO] log:48;reward=0.025043368339538574;action=0;reward_sum=0.40066869258880633
2023-05-28T13:16:42.780912823Z [WORM][2023-05-28 13:16:42,780][INFO] log:48;reward=0.6510769128799438;action=2;reward_sum=1.0517456054687502
2023-05-28T13:16:43.281518008Z [WORM][2023-05-28 13:16:43,281][INFO] log:48;reward=0.050067043304443004;action=2;reward_sum=1.1018126487731932
2023-05-28T13:16:43.782635633Z [WORM][2023-05-28 13:16:43,782][INFO] scanning...
2023-05-28T13:16:44.283457774Z [WORM][2023-05-28 13:16:44,283][INFO] log:49;reward=0.10019574165344203;action=2;reward_sum=0.10019574165344203
2023-05-28T13:16:44.784289904Z [WORM][2023-05-28 13:16:44,784][INFO] log:49;reward=0.0;action=1;reward_sum=0.10019574165344203
2023-05-28T13:16:45.285204221Z [WORM][2023-05-28 13:16:45,284][INFO] log:49;reward=0;action=3;reward_sum=0.10019574165344203
2023-05-28T13:16:45.786467280Z [WORM][2023-05-28 13:16:45,786][INFO] scanning...
2023-05-28T13:16:46.287046545Z [WORM][2023-05-28 13:16:46,286][INFO] log:50;reward=0.20036056041717565;action=2;reward_sum=0.20036056041717565
2023-05-28T13:16:47.288437573Z [WORM][2023-05-28 13:16:47,288][INFO] log:51;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:16:47.789454708Z [WORM][2023-05-28 13:16:47,789][INFO] fetching info...
2023-05-28T13:16:48.290166463Z [WORM][2023-05-28 13:16:48,289][INFO] log:52;reward=1.8030279159545906;action=4;reward_sum=1.8030279159545906
2023-05-28T13:16:48.791243493Z [WORM][2023-05-28 13:16:48,791][INFO] fetching info...
2023-05-28T13:16:49.291889664Z [WORM][2023-05-28 13:16:49,291][INFO] log:53;reward=0.20034937858581614;action=4;reward_sum=0.20034937858581614
2023-05-28T13:16:49.793000688Z [WORM][2023-05-28 13:16:49,792][INFO] scanning...
